participant_id,Quality_of_argument,Coherence_and_cohesion,Lexical_resource_and_grammar
63e584009bf1aa55a39e1d53,8,8,8
5a791168f49c9a0001f31061,5,5,5
676276312d87ec9601be7d5c,5,5,6
65cb7b14e78fc98ecd71d8de,7,7,7
5eaee5a2b1ad425c2eb0061d,6,6,7
682ce81464477d02bf7e7fd0,6,6,6
60ae732b911084864713db46,7,7,8
6600a119385d8631c41cd795,6,5,6
666640831e2f8d963f8c528f,6,6,6
5755c957eb80c4000741a9ce,6,7,8
6202997def1cb18a1337c483,6,6,7
64ec1d84372b0dbb94589054,7,7,7
662973533159df515afdd606,5,5,7
631fdedf78d4f7b0a6b985ad,7,7,7
67f588a70bda8704ed309bb2,6,7,7
6722a197cc0c3f9ed2aa5110,7,7,7
66cdcfbb7cf063916d61746f,6,6,5
67bd0a210300cd17904fcd28,6,7,6
5f58d7941af44708223b94da,6,6,6
66f75ca6c63db2214194b1cc,8,7,7
67e41073845419aa20c5dcfe,5,5,5
6739c63518b4df234536f2d7,6,6,6
66df94af83813d40ddcbf790,6,6,6
6772eefa63ec1102cc8bce2e,5,5,5
5e47a5ae418f6125620ee944,6,6,6
653ae70380d91293ccf6e5d9,5,5,6
62f1b2691a5ac1c03a9987a0,6,7,7
5d6d729b679b200019c12498,7,7,7
675efef80636ec90d906ecb4,7,7,7
5e1545d9b1fb05b6369d13e8,6,7,7
5f4e52a627d2a0000a8ed0c5,6,7,6
673378009f99d14c232c1f2b,7,7,8
676add84a7c12204af3e4c90,5,5,6
6733a35832fa017f4156e703,6,7,7
67cfeddb9f4b04d789ca82bd,6,7,7
673f58421b143a15bc2367c1,5,5,5
67ea1b486fa9c8eb97c1c4ea,7,8,8
67781e16d9eefb2646a5f089,7,7,8
63614ad9841a7d16ad04512a,7,7,7
66b3c498d77bba8cb7e9800e,5,6,6
5eaa605c7c3cbc1f14421a94,6,7,7
6173240b98f6e6f48d97880a,7,7,8
67cb5baef51d73572cb490ae,6,5,5
5d7a1fce27fb8a000196993e,7,8,8
5da8768c2a921500145c6a0d,6,6,6
5e530b304818fc31afb5a3ea,7,7,8
66cb2e0bd2169db778550269,6,6,6
5b98940f754b700001f0f15c,5,5,5
67a8fa10b4db1990f7372f01,6,7,6
5af1a4bc6e136b0001411714,6,7,7
672f246d1d67d71960402ef8,7,7,7
66640059232bcc6a15b24803,7,7,8
6294ce94ea81c4554b141010,6,6,5
6155180ec2486a4b4f9a0399,5,6,4
5b68c9eb87af310001584803,6,6,6
5f6e76757befe43b22307387,6,6,6
5fb551ccab996500099ab1aa,5,5,5
668524a1a970340348138c93,5,6,6
65389f0b0f181197c4218f6d,6,6,6
59ff47d47ecfc50001be0555,5,5,5
5b9d57e5737d030001ad2cbf,7,7,7
612adba08b8235b31539c704,6,5,7
60d88604c5043e278f740608,5,5,5
641397a5ea8f5954ad10fceb,5,5,5
666fb6f24d1c14f333eb4a0a,7,7,7
65a700a7fa22d5f150d08b09,5,5,5
