likert_0,likert_1,likert_2,likert_3,likert_4,likert_5,slider_0,slider_1,free_response_1,free_response_2,free_response_3,participant_id,prompt_id,condition
7,7,7,7,7,7,50,50,"I came up with the outline myself. While the AI filled in the details, it did truly state arguments I intended with my initial outline. I also modified its output a little, fine-tuning it to match my vision.","I came up with the vision, the AI filled in the details. It's fair to say we both contributed 50/50.","The AI really turned my outline into a full-fledged argument. I do feel like it's my argument though, since it's based on my outline.",631fdedf78d4f7b0a6b985ad,a1,3
7,7,7,1,7,7,100,100,I drafted the entire essay without any form of AI support.,"I drafted the text myself, and all ideas produced by the AI outline were ideas that I would have produced anyway.",I feel that this essay was 100% written by me.,63e584009bf1aa55a39e1d53,b2,2
7,7,7,1,5,6,100,100,"It is truly mine because I wrote the whole thing myself, with no AI assistance.",I did not use AI for any parts of the writing process.,,60ae732b911084864713db46,b3,1
6,7,7,2,6,5,70,80,"I relied a little on AI support, but ultimately I shaped the essay using my voice.","AI did come up with the ideas, but I added more meat to the bone to make the ideas have more context.",No.,5a791168f49c9a0001f31061,b3,2
5,6,5,7,6,6,30,40,"I feel that the ideas were mine, however, AI added/made a many points and wrote many of the sentences in the essay.","I think the ideas were mostly mine, and AI added clauses to support my arguments. I attributed 40% of the text to AI because I felt that AI wrote approximately 40% of the essay.",AI definitely deserves a lot of credit for its work on the essay.,65cb7b14e78fc98ecd71d8de,b3,4
7,7,7,1,7,7,100,100,I wrote it myself and included a lot of my own experiences in it.,"I wrote it all, I don't use AI for anything.","Nothing really, hope you enjoy it.",662973533159df515afdd606,b2,1
7,7,7,7,7,7,98,98,"The essay is mine since I wrote all the ideas, and only applied AI for proofreading.",I wrote the ideas as presented in the essay.,None,682ce81464477d02bf7e7fd0,a1,4
3,3,2,7,1,1,25,40,Because in my outline I never highlighted specific arguments those were chosen by the AI.,I didn't have enough time to change much during the revision period.,,6722a197cc0c3f9ed2aa5110,a1,3
4,5,4,6,5,6,88,40,"While the key points were all present in the essay, and I managed to make a lot of key changes and cleaned up the AI written essay,  there were segments that I had no impact over and left the same in sentence form,  making the final draft more a collaborative effort. ",I thought all of my key ideas and points were all written into the final essay. ,,66f75ca6c63db2214194b1cc,b1,3
6,7,7,7,6,5,86,79,I felt it was mine because i had control over the narrative and the final product.,,,6600a119385d8631c41cd795,a3,4
