age,nfc_0,nfc_1,nfc_2,nfc_3,gender,aiUseType,education,AIwriting_0,AIwriting_1,aiFrequency,techAccept_0,techAccept_1,techAccept_2,techAccept_3,nativeEnglish,writingEfficacy_0,writingEfficacy_1,writingEfficacy_2,writingEfficacy_3,writingEfficacy_4,writingEfficacy_5,writingEfficacy_6,writingEfficacy_7,participant_id,prompt_id,condition
46-55,2,3,2,3,female,"[""I don't use AI for writing""]",Bachelor's degree,3,2,Never,4,4,4,4,Yes,6,6,7,7,6,5,6,5,662973533159df515afdd606,b2,1
18-25,4,4,1,4,female,"[""I don't use AI for writing""]",Bachelor's degree,3,5,About once a month,5,5,5,5,Yes,3,5,4,6,5,5,3,2,65cb7b14e78fc98ecd71d8de,b3,4
26-35,4,5,1,3,non-binary/third gender,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Doctorate,7,7,About once a week,5,6,6,6,Yes,7,7,7,6,6,7,6,6,63e584009bf1aa55a39e1d53,b2,2
26-35,2,3,3,2,female,"[""I don't use AI for writing""]",Doctorate,2,5,Never,4,4,3,3,Yes,4,5,5,4,3,3,4,4,60ae732b911084864713db46,b3,1
46-55,4,2,1,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,7,7,About once a week,5,5,6,6,Yes,6,7,7,7,6,6,6,7,5a791168f49c9a0001f31061,b3,2
36-45,5,5,1,5,female,"[""I don't use AI for writing""]",Bachelor's degree,3,1,About once a month,5,6,5,4,Yes,6,6,6,6,6,5,5,6,682ce81464477d02bf7e7fd0,a1,4
36-45,5,1,1,5,male,"[""I don't use AI for writing""]",Master's degree,4,4,Never,7,7,7,7,Yes,7,7,7,7,7,7,7,7,631fdedf78d4f7b0a6b985ad,a1,3
26-35,4,2,1,5,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,3,About once a week,7,7,7,7,Yes,5,7,7,7,6,7,7,7,666640831e2f8d963f8c528f,b2,2
18-25,3,2,2,4,female,"[""I don't use AI for writing""]",Bachelor's degree,2,1,Never,5,5,5,5,Yes,6,6,6,6,6,6,6,6,6202997def1cb18a1337c483,b1,2
46-55,5,2,1,4,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,6,Almost every day,6,6,6,6,Yes,6,6,4,6,6,5,6,6,676276312d87ec9601be7d5c,a2,1
26-35,3,4,3,3,female,['Revising/editing'],Master's degree,5,6,About once a week,5,5,6,6,Yes,6,6,6,5,5,5,4,5,64ec1d84372b0dbb94589054,a3,2
36-45,4,2,1,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,7,Almost every day,7,7,7,7,Yes,5,7,7,7,5,6,6,6,6600a119385d8631c41cd795,a3,4
46-55,3,2,2,4,female,['Drafting content'],Bachelor's degree,2,6,Less than once a month,5,5,6,3,Yes,5,5,5,6,5,5,5,5,67f588a70bda8704ed309bb2,b1,3
36-45,5,1,1,5,male,"[""I don't use AI for writing""]",Master's degree,5,5,Never,7,7,6,5,Yes,7,6,7,6,6,5,6,6,5755c957eb80c4000741a9ce,a2,2
26-35,4,5,1,4,male,['Brainstorming ideas'],Master's degree,6,6,Less than once a month,5,5,6,5,Yes,5,6,7,6,6,5,6,6,67bd0a210300cd17904fcd28,a2,2
46-55,4,2,1,4,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,7,Less than once a month,6,6,6,7,Yes,5,5,6,5,5,6,5,6,66f75ca6c63db2214194b1cc,b1,3
26-35,4,2,2,4,male,['Revising/editing'],Bachelor's degree,5,4,Less than once a month,7,6,6,5,Yes,6,7,7,6,6,5,6,6,6722a197cc0c3f9ed2aa5110,a1,3
18-25,4,3,2,4,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,6,6,About once a month,6,6,6,6,Yes,6,6,6,6,6,6,6,7,66cdcfbb7cf063916d61746f,a3,1
26-35,4,3,1,3,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,6,About once a week,5,5,6,6,Yes,6,6,7,7,7,6,6,7,5f58d7941af44708223b94da,b3,1
36-45,4,5,2,4,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Other,7,7,Almost every day,6,6,6,7,Yes,7,7,7,7,7,7,7,7,6739c63518b4df234536f2d7,a3,2
26-35,4,4,1,4,female,['Brainstorming ideas'],Bachelor's degree,5,7,Less than once a month,6,6,5,5,Yes,5,6,6,5,5,5,5,5,66df94af83813d40ddcbf790,b1,2
46-55,3,3,2,3,male,['Revising/editing'],Bachelor's degree,5,5,About once a month,7,7,6,7,Yes,6,6,6,6,5,5,5,5,5e47a5ae418f6125620ee944,b1,2
26-35,3,3,2,4,male,"['Brainstorming ideas', 'Drafting content']",Master's degree,3,5,Less than once a month,4,5,5,6,Yes,4,6,6,6,5,4,5,6,653ae70380d91293ccf6e5d9,a3,4
36-45,4,3,1,4,female,['Drafting content'],Bachelor's degree,6,5,About once a week,6,6,7,6,Yes,6,6,7,7,6,6,6,7,67e41073845419aa20c5dcfe,b2,1
26-35,3,3,2,4,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,6,6,About once a week,6,6,7,6,Yes,6,6,7,6,5,5,4,6,5eaee5a2b1ad425c2eb0061d,a1,4
26-35,3,2,1,3,male,"[""I don't use AI for writing""]",Master's degree,4,5,Almost every day,6,6,7,7,Yes,5,7,7,7,7,6,4,5,62f1b2691a5ac1c03a9987a0,a3,3
46-55,4,2,1,4,female,"[""I don't use AI for writing""]",Bachelor's degree,4,4,Never,4,4,5,5,Yes,6,6,6,6,5,4,6,5,5d6d729b679b200019c12498,a3,4
26-35,2,3,2,2,female,"['Brainstorming ideas', 'Revising/editing']",Master's degree,7,7,Almost every day,6,6,7,7,Yes,6,6,7,5,5,4,4,4,675efef80636ec90d906ecb4,a1,3
46-55,4,2,1,4,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,7,About once a week,7,7,7,7,Yes,6,6,7,6,5,5,5,5,5e1545d9b1fb05b6369d13e8,a3,4
36-45,4,4,1,4,male,"[""I don't use AI for writing""]",Master's degree,5,6,About once a week,6,6,6,6,Yes,6,6,6,5,4,3,4,5,5f4e52a627d2a0000a8ed0c5,a3,2
36-45,5,1,1,5,male,"[""I don't use AI for writing""]",Master's degree,5,4,About once a week,6,6,5,6,Yes,7,7,7,7,7,6,6,6,673378009f99d14c232c1f2b,b3,3
26-35,5,5,5,5,female,"[""I don't use AI for writing""]",Bachelor's degree,4,4,About once a week,5,4,5,5,Yes,4,4,4,4,4,4,4,4,6772eefa63ec1102cc8bce2e,b1,2
36-45,2,2,1,4,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,6,Almost every day,7,6,6,6,Yes,7,7,7,7,7,7,6,6,676add84a7c12204af3e4c90,a3,4
26-35,4,3,1,4,male,"['Brainstorming ideas', 'Drafting content']",Master's degree,6,7,About once a week,7,6,6,6,Yes,6,7,7,6,5,6,6,6,6733a35832fa017f4156e703,a1,4
56 or over,4,4,4,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,6,6,About once a week,6,6,6,6,Yes,6,6,6,6,6,6,6,6,67ea1b486fa9c8eb97c1c4ea,b3,3
26-35,3,3,1,4,male,['Brainstorming ideas'],Bachelor's degree,7,7,Less than once a month,6,6,6,7,Yes,5,7,7,7,7,7,7,7,67cfeddb9f4b04d789ca82bd,a3,3
46-55,4,2,1,4,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,7,Almost every day,5,6,7,6,Yes,7,6,7,6,6,6,6,6,673f58421b143a15bc2367c1,a1,4
26-35,2,3,1,4,male,"[""I don't use AI for writing""]",Bachelor's degree,5,5,Never,5,5,5,6,Yes,6,5,5,5,5,5,5,5,67781e16d9eefb2646a5f089,a2,3
26-35,3,4,2,5,male,['Drafting content'],Bachelor's degree,6,5,About once a month,6,5,7,7,Yes,7,7,7,7,7,6,6,7,63614ad9841a7d16ad04512a,a3,3
26-35,3,4,3,3,male,['Brainstorming ideas'],Bachelor's degree,5,5,Less than once a month,6,6,5,5,Yes,5,6,6,6,5,5,4,5,66b3c498d77bba8cb7e9800e,b1,2
36-45,2,4,3,2,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,6,About once a week,6,6,7,5,Yes,5,5,6,4,4,2,4,4,5eaa605c7c3cbc1f14421a94,b3,3
46-55,3,4,2,4,male,"['Drafting content', 'Revising/editing']",Bachelor's degree,6,6,About once a week,6,6,6,7,Yes,6,6,6,7,7,4,3,5,6173240b98f6e6f48d97880a,a1,3
26-35,4,2,2,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,6,6,Almost every day,6,6,6,6,Yes,6,6,7,7,7,7,7,7,67cb5baef51d73572cb490ae,a1,4
26-35,4,2,1,4,female,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,7,7,Almost every day,6,6,7,7,Yes,7,7,7,7,6,6,6,6,5e530b304818fc31afb5a3ea,b1,3
46-55,4,2,1,4,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,4,5,About once a week,5,5,6,6,Yes,5,6,7,7,7,7,6,6,5d7a1fce27fb8a000196993e,b1,3
18-25,4,2,1,2,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,5,6,About once a week,6,6,7,6,Yes,5,6,6,5,6,6,5,6,66cb2e0bd2169db778550269,a1,2
56 or over,3,3,1,3,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,7,About once a week,5,5,7,7,Yes,7,7,7,7,7,7,7,7,5b98940f754b700001f0f15c,b1,1
26-35,4,4,1,4,female,"['Brainstorming ideas', 'Revising/editing']",Master's degree,6,7,Almost every day,6,6,7,7,Yes,6,6,6,6,6,6,7,7,67a8fa10b4db1990f7372f01,a3,3
26-35,4,1,1,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,6,About once a week,7,7,7,7,Yes,5,5,5,6,5,4,6,5,5da8768c2a921500145c6a0d,b2,2
46-55,4,4,1,4,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,6,Almost every day,4,3,5,6,Yes,6,5,6,5,6,5,6,6,5af1a4bc6e136b0001411714,b2,3
26-35,4,2,2,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,5,About once a week,7,6,6,6,Yes,5,5,6,5,5,5,5,5,672f246d1d67d71960402ef8,b1,4
26-35,5,1,1,1,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,7,Almost every day,7,7,7,7,No,5,5,4,4,4,3,4,3,612adba08b8235b31539c704,a1,4
36-45,4,1,1,5,female,['Revising/editing'],Bachelor's degree,6,6,Less than once a month,5,6,6,7,Yes,4,5,7,4,5,5,5,5,66640059232bcc6a15b24803,b1,3
26-35,5,1,1,5,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,6,7,About once a week,6,5,7,7,Yes,5,6,6,5,5,4,6,5,6294ce94ea81c4554b141010,a2,1
36-45,3,3,3,3,male,['Drafting content'],Master's degree,7,1,About once a week,7,7,1,1,Yes,7,7,1,4,5,5,5,5,59ff47d47ecfc50001be0555,b2,4
46-55,4,4,2,4,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,5,6,Almost every day,5,6,5,6,Yes,4,4,5,5,3,5,4,3,5f6e76757befe43b22307387,b2,1
18-25,4,2,2,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,6,Almost every day,6,6,6,6,Yes,6,6,6,6,6,6,6,6,668524a1a970340348138c93,b2,4
56 or over,3,3,4,2,male,['Drafting content'],Bachelor's degree,5,5,Less than once a month,6,6,5,5,Yes,5,5,6,5,5,6,5,6,5b9d57e5737d030001ad2cbf,b2,3
46-55,4,2,1,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,7,About once a week,6,6,6,6,Yes,7,7,7,6,7,6,7,7,666fb6f24d1c14f333eb4a0a,b1,4
26-35,5,2,2,5,female,"[""I don't use AI for writing""]",Doctorate,6,5,Almost every day,6,6,7,6,Yes,7,6,6,6,6,6,6,6,6155180ec2486a4b4f9a0399,a2,1
36-45,2,4,2,3,male,['Drafting content'],Bachelor's degree,6,7,Almost every day,5,5,6,6,Yes,6,6,7,6,6,5,6,6,5fb551ccab996500099ab1aa,b1,1
18-25,4,5,5,3,male,['Revising/editing'],High school diploma,4,4,About once a month,6,6,4,5,Yes,5,5,7,5,5,4,5,5,5d1e2045a37a4d001a1fc2cb,a1,1
36-45,4,2,2,4,female,['Brainstorming ideas'],Bachelor's degree,5,6,Less than once a month,5,5,5,5,Yes,5,5,7,6,6,5,5,5,5c74e7e9c3fe130001e86cc8,b3,3
56 or over,2,3,1,3,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,2,7,About once a week,5,4,7,6,Yes,4,5,4,3,3,2,4,1,664287debe4750708ea0ecf7,a3,3
46-55,4,2,2,4,male,['Drafting content'],Bachelor's degree,5,6,About once a month,6,6,5,5,Yes,6,6,6,6,5,6,6,6,60d88604c5043e278f740608,b1,1
46-55,4,2,1,4,female,"[""I don't use AI for writing""]",Bachelor's degree,4,6,Never,5,5,6,7,Yes,5,5,6,5,6,3,5,5,641397a5ea8f5954ad10fceb,b2,1
46-55,4,2,2,5,female,"['Drafting content', 'Revising/editing']",Bachelor's degree,6,5,About once a week,6,6,5,5,Yes,6,6,7,6,5,5,5,6,674bea1eb044fbe75795fef1,b1,4
36-45,2,4,2,4,female,"[""I don't use AI for writing""]",Bachelor's degree,5,6,Never,5,5,6,6,Yes,6,6,7,6,6,6,6,6,5b421b9ac2e3810001763252,a1,4
26-35,2,5,4,1,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,7,Almost every day,7,7,7,6,Yes,5,7,7,6,5,5,6,5,5b68c9eb87af310001584803,a3,4
36-45,4,3,2,3,female,"['Drafting content', 'Revising/editing']",Bachelor's degree,5,5,About once a month,6,6,6,6,Yes,5,5,5,5,5,5,3,4,605cd1b167207b8209b39fee,a1,1
26-35,4,2,2,4,male,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,5,7,About once a week,6,6,6,6,Yes,5,5,3,4,4,4,4,3,65c0f99b71fb575465c6ca0d,b2,1
18-25,3,4,1,4,female,"[""I don't use AI for writing""]",Bachelor's degree,3,3,Never,3,3,2,3,Yes,6,5,7,6,5,3,3,5,5ee28b04c21e4b3d41f5dd8b,a3,2
26-35,5,5,1,5,female,['Revising/editing'],Bachelor's degree,7,7,Almost every day,6,6,7,6,Yes,7,7,7,7,7,6,6,7,65d587429ae199f8fb3d2af9,a2,4
46-55,4,3,2,4,female,"[""I don't use AI for writing""]",Bachelor's degree,6,5,Never,7,7,6,5,Yes,7,7,7,7,7,6,6,7,680ead7c2b5ff2611f16aaff,a1,2
46-55,5,2,1,5,male,['Brainstorming ideas'],Bachelor's degree,3,2,Less than once a month,6,6,5,4,Yes,5,7,7,6,7,7,5,6,67048d5f52bfc5947eff998d,a1,1
46-55,3,3,2,4,male,"['Brainstorming ideas', 'Drafting content']",Master's degree,3,5,About once a month,5,5,5,4,Yes,6,5,7,7,6,7,7,7,67166aa9ff2bc371c302fa92,a1,4
26-35,5,3,2,5,male,['Brainstorming ideas'],Bachelor's degree,5,2,Almost every day,6,6,7,7,Yes,7,7,7,7,6,6,5,7,62fd14d7b1e0729dc8aadb79,b1,2
56 or over,5,1,1,1,male,"['Drafting content', 'Revising/editing']",Doctorate,5,5,About once a week,2,2,3,3,Yes,6,6,2,2,5,2,2,3,5c9034a2eedbd9001573ca14,b1,4
26-35,2,4,3,1,female,['Revising/editing'],Bachelor's degree,7,7,About once a month,6,6,7,7,Yes,7,7,4,4,5,3,5,4,5c9bfbfa325c3d001ad360a8,b1,4
46-55,3,2,1,4,female,"[""I don't use AI for writing""]",Bachelor's degree,4,4,Less than once a month,4,4,5,5,Yes,4,4,7,7,7,7,7,7,67b9d2f7a49052c6e25c6a7f,b3,2
46-55,3,4,2,3,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,4,6,About once a week,6,6,6,6,Yes,5,5,6,5,5,4,4,5,676f28a680afa9fe2cf06ac0,b2,2
46-55,5,3,1,5,female,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,5,5,About once a week,6,6,4,4,Yes,4,6,5,5,5,5,5,5,65a46bd1df11a18ab8055107,a2,1
26-35,3,3,3,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Doctorate,5,5,About once a week,5,5,5,6,No,6,6,5,5,5,6,5,6,676f0ec8ea4254c4597b62ba,a1,4
46-55,4,3,2,4,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,2,About once a week,6,6,6,5,Yes,6,7,7,7,7,7,7,7,582474a8aac01b0001e45ef9,b2,4
26-35,5,1,2,5,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,7,Almost every day,7,6,6,7,Yes,6,6,7,6,5,4,6,6,66ccdd9f6b12c6ea6fa01f42,a3,1
26-35,3,3,1,3,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,5,4,About once a week,6,6,5,5,Yes,5,5,7,6,5,5,5,6,601c277aabe00c6bc759bf69,a1,1
36-45,4,5,1,1,female,"[""I don't use AI for writing""]",Master's degree,4,4,About once a week,7,7,6,7,Yes,7,7,7,7,6,7,5,6,66eeda2bc7d6e9b92b4a81c0,b3,2
26-35,3,1,2,3,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,4,4,About once a week,5,5,4,5,Yes,5,3,6,4,4,5,4,5,67dd40b531ab9c33ff61e98e,a1,3
26-35,5,3,1,4,male,"['Brainstorming ideas', 'Revising/editing']",Master's degree,6,7,About once a week,7,6,7,7,Yes,7,5,6,7,5,7,6,6,67e8ffe90ba972b691421fcf,b3,1
36-45,2,5,2,3,female,['Revising/editing'],Bachelor's degree,6,7,Almost every day,7,7,7,6,Yes,4,7,7,6,5,6,5,5,677ef0198fc5d8193c009e35,b1,1
26-35,4,3,2,4,female,"['Drafting content', 'Revising/editing']",Bachelor's degree,5,6,About once a week,4,4,6,6,Yes,2,5,6,6,4,5,5,4,5efd22056ec55516587f32a6,a1,3
26-35,3,4,3,4,female,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,6,7,About once a week,5,6,6,5,Yes,7,7,7,7,7,7,7,7,663a5d30071a8ee639e0b6be,b2,4
46-55,4,4,2,4,male,"['Drafting content', 'Revising/editing']",Bachelor's degree,6,6,About once a week,5,5,6,6,Yes,5,4,6,6,5,5,5,6,668a9e53e7690b3b64d48e92,b2,3
26-35,4,2,1,4,male,['Brainstorming ideas'],Bachelor's degree,5,4,About once a week,5,5,6,5,Yes,5,6,7,6,7,7,7,6,66e641a57e7f41866f9e705f,a3,2
26-35,3,3,2,3,male,['Brainstorming ideas'],Bachelor's degree,4,4,About once a week,4,4,4,4,Yes,4,6,7,6,4,4,6,6,67dd4da2c093609cf5b34756,b2,3
46-55,2,4,3,2,female,['Revising/editing'],Bachelor's degree,4,6,Less than once a month,4,5,6,5,Yes,4,5,6,5,4,5,4,5,5838861383a1cc0001f3f258,a1,1
36-45,5,2,1,5,female,['Drafting content'],Doctorate,6,5,About once a month,5,5,5,5,Yes,7,7,6,5,7,5,6,6,66b3e078bef7d6dd6c53e015,a2,2
46-55,4,5,2,3,female,"['Drafting content', 'Revising/editing']",Master's degree,7,7,Almost every day,6,6,6,5,Yes,6,7,7,5,6,4,5,5,67ce066d8423f4b37bcbdde8,b1,2
26-35,3,4,2,3,female,"[""I don't use AI for writing""]",Bachelor's degree,6,4,About once a week,6,6,6,6,Yes,6,6,6,6,6,6,6,6,665cffa294d28913423afcfd,b1,1
36-45,3,4,2,4,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,6,About once a week,7,7,6,5,Yes,5,6,7,6,7,7,4,5,661125097f843e3140f7be59,a1,4
36-45,5,1,1,5,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,6,About once a week,6,6,6,6,Yes,6,7,7,6,6,6,6,6,5c5fc78e96dff400013607a5,b3,3
26-35,3,4,2,3,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,7,7,About once a week,6,6,6,6,Yes,7,7,7,7,7,7,7,7,66927ac65524897b604bc734,b2,3
36-45,5,1,1,5,male,['Brainstorming ideas'],Bachelor's degree,6,6,Almost every day,6,6,7,7,Yes,7,6,7,7,6,6,7,6,6546e4c359e7f644c638df33,a3,3
26-35,3,4,1,3,male,['Brainstorming ideas'],Bachelor's degree,5,5,Almost every day,5,5,6,5,Yes,7,7,7,7,7,7,7,7,5e39e1e2c8aeb01fe7aca4b6,a2,4
26-35,2,2,2,4,female,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,4,5,About once a month,5,5,6,5,Yes,7,6,7,6,6,5,5,6,6396a9885e2b6edd030c6758,b1,3
18-25,2,4,2,4,female,['Brainstorming ideas'],Bachelor's degree,4,6,Less than once a month,6,6,6,6,Yes,5,5,5,5,5,5,5,3,6674a469ceb7450e9fe167f6,b2,3
36-45,5,1,1,5,female,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,7,7,About once a week,6,6,7,7,Yes,7,6,7,7,6,3,7,7,6825af939111d286546fdde6,a1,3
26-35,4,3,2,4,male,['Brainstorming ideas'],Bachelor's degree,5,6,Less than once a month,7,7,7,7,Yes,5,6,6,5,6,6,5,5,66541be4b45de05734e7129a,a3,2
36-45,3,4,2,3,female,"[""I don't use AI for writing""]",Master's degree,4,2,Never,6,6,6,6,Yes,5,5,6,6,4,6,5,5,563da4c4ef3f15000bb92b64,a3,1
18-25,5,5,1,5,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,7,About once a week,7,7,7,7,Yes,7,7,6,6,5,5,4,5,5d3cc4bd1850400016d2bb66,a1,3
36-45,3,3,1,4,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,3,6,About once a week,4,4,6,6,Yes,6,5,6,6,5,4,4,6,67d9625169884c7fdecaf0a6,a1,2
46-55,2,4,2,3,female,"['Brainstorming ideas', 'Drafting content']",Bachelor's degree,4,6,About once a week,3,4,5,5,Yes,4,4,4,3,5,4,3,4,66116b936273edeae82eb481,b1,2
36-45,4,3,1,4,male,"[""I don't use AI for writing""]",Master's degree,2,2,Less than once a month,6,6,5,6,Yes,6,6,6,5,6,5,6,6,67d3ae4ba9a2595f154f14c7,a3,3
36-45,4,2,1,4,female,['Brainstorming ideas'],Master's degree,6,5,Less than once a month,6,5,6,6,Yes,7,7,7,6,7,6,6,5,5d4a15309855f10015912c4b,a3,4
36-45,3,3,3,3,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,6,6,About once a week,5,5,4,6,Yes,7,6,4,6,6,5,6,6,5de7d7a6603b1b73f3944f8e,a3,4
26-35,5,2,1,5,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,6,Less than once a month,7,6,6,7,Yes,7,7,6,7,6,7,6,7,67d095bc257ecc840642912e,b2,4
26-35,4,3,1,5,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Bachelor's degree,7,7,Almost every day,6,6,7,7,Yes,6,6,6,6,7,6,6,5,65a700a7fa22d5f150d08b09,a3,2
26-35,5,2,2,5,male,"['Brainstorming ideas', 'Drafting content', 'Revising/editing']",Master's degree,7,7,About once a week,5,5,6,6,Yes,7,7,7,7,7,7,7,7,67d43f5c7253c147df75e9e5,b1,3
26-35,5,1,1,5,male,"[""I don't use AI for writing""]",Bachelor's degree,2,1,Never,5,6,3,3,Yes,7,7,7,7,7,7,7,7,6631e8c2d53e95056e4ac6bb,a2,2
36-45,4,1,5,4,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,7,6,Almost every day,4,4,4,5,Yes,6,5,7,6,5,4,4,6,6504c6655c2ae520567f52ff,b3,4
26-35,5,1,1,5,male,['Brainstorming ideas'],Doctorate,7,1,Less than once a month,7,7,7,7,Yes,7,7,7,7,7,7,7,7,65389f0b0f181197c4218f6d,b3,3
26-35,5,2,1,4,female,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,7,About once a month,5,5,6,6,Yes,5,6,6,6,5,2,4,4,6400db77211380d3116572fc,b1,1
36-45,4,3,2,4,male,"['Brainstorming ideas', 'Revising/editing']",Bachelor's degree,6,6,About once a week,6,6,6,6,Yes,6,6,6,6,6,6,6,6,67d98fdc3119bc87d2012ac3,b2,3
56 or over,2,4,4,2,male,"[""I don't use AI for writing""]",Bachelor's degree,6,6,Never,6,6,6,5,Yes,4,3,7,5,2,4,2,4,6413bee5234ad46e9fc4ba75,a1,2
26-35,3,4,3,3,female,"[""I don't use AI for writing""]",Bachelor's degree,2,3,Never,5,4,4,3,Yes,4,4,6,5,4,4,3,4,611175c06e962ff669c8fb41,b3,2
46-55,1,4,3,2,female,['Brainstorming ideas'],Master's degree,6,7,Less than once a month,6,6,7,6,Yes,4,5,7,5,4,5,3,4,662bbc5c823afb7c3a3a1629,b2,3
26-35,4,4,1,4,male,['Revising/editing'],Bachelor's degree,7,6,About once a week,6,7,6,6,Yes,7,6,6,5,6,4,6,4,67e2ec1e3ccfcc02f94d6351,a1,1
