Prolific Id,Quality of argument,Coherence and cohesion,Lexical resource and grammar
582474a8aac01b0001e45ef9,4,5,7
67781e16d9eefb2646a5f089,5,6,6
66541be4b45de05734e7129a,4,3,4
6155180ec2486a4b4f9a0399,5,6,4
67dd4da2c093609cf5b34756,8,8,9
592a6246e1b21500015924ec,5,4,8
67e71c9c4c220e0f0df2ef30,6,5,5
65ddeb426c748b12456eed89,5,5,7
5f4fb5c0ad48ba0ab9a454e5,4,6,7
5f58d7941af44708223b94da,5,3,5
677b8e386966144d94556597,8,8,9
67d41706b93041fcbe3c570b,5,2,4
66b3e078bef7d6dd6c53e015,6,4,6
65ff13cac7dc7dc6c54458ce,4,5,5
66823a439b3e59a13b37a28f,2,4,6
67bd0a210300cd17904fcd28,6,5,6
665cffa294d28913423afcfd,5,5,6
61310222247b6dcdfd39bddf,6,6,8
5e47a5ae418f6125620ee944,4,5,6
674bea1eb044fbe75795fef1,5,6,7
661125097f843e3140f7be59,6,5,6
605cd1b167207b8209b39fee,6,4,6
66cdcfbb7cf063916d61746f,5,5,6
641397a5ea8f5954ad10fceb,4,3,5
5980fff19bf4fe0001070984,4,4,5
67f22d9adc313d0ce5eafff4,2,3,6
676add84a7c12204af3e4c90,5,5,6
67fffee26ec983c07f3a2abd,6,5,6
63852fbf95d78ba25b99005e,5,3,6
66b3c498d77bba8cb7e9800e,5,6,7
5e7b779563c6dc05953e3669,7,8,8
65c113f79050d9c2915d2e82,5,5,6
677edb96bb091e27806608b9,3,5,6
67d98fdc3119bc87d2012ac3,8,7,8
668a9e53e7690b3b64d48e92,9,8,9
61338374ecef87bfdfd1c7bb,9,7,8
66f75ca6c63db2214194b1cc,8,7,7
6825af939111d286546fdde6,6,7,8
665e680164927b18554b66ec,7,8,9
5d3cc4bd1850400016d2bb66,6,7,8
673378009f99d14c232c1f2b,7,7,8
66a09fe785573924735fc76f,8,8,9
62c66498e5b6da32be94c7e6,7,6,8
5b9d57e5737d030001ad2cbf,7,7,8
5cf58c09370a0800017d209d,6,7,7
5d6d729b679b200019c12498,8,7,7
62733b8ee687326d23d970ea,4,5,5
651f877f99a86ed3d73471c5,8,9,9
67d095bc257ecc840642912e,3,4,5
67d9625169884c7fdecaf0a6,4,5,5
